10000 20000
23 3052 150648
23 7751 66124
23 6081 56054
24 257 182098
24 607 50103
24 2734 50067
24 5931 116440
25 92 205972
25 1929 203629
25 2730 166678
25 3618 37567
25 4918 110937
25 9789 70875
25 6285 213635
25 4399 92275
25 8827 146593
26 31 199791
26 82 90668
26 230 178619
26 752 116167
26 173 89476
27 62 23242
27 494 158112
27 2521 12548
28 33 172034
28 54 124200
28 64 157472
28 84 38326
28 178 45564
28 356 210600
28 685 117148
28 2103 103383
28 6586 125522
28 8897 107540
28 5006 166141
28 5515 148943
29 38 166340
29 67 4443
29 79 137063
29 181 74923
29 6351 66138
29 7130 53864
29 4917 36938
29 285 96102
29 4204 20628
29 9411 24223
30 234 45422
30 1097 35806
30 1765 140227
30 2296 193553
30 2440 114231
30 4391 197720
30 5097 15242
30 6089 107556
30 8785 214329
30 3105 12986
31 217 198541
31 1872 112986
31 2320 164413
31 7190 105551
31 8971 162164
31 1781 2672
31 3489 114125
32 36 181028
32 56 36912
32 59 120096
32 200 116713
32 212 63922
32 486 126932
32 7186 159428
32 5267 18719
32 2144 160537
33 52 91369
33 107 160573
33 2408 117724
33 2830 48403
33 3202 134674
33 3501 149256
33 3646 8625
33 3762 173146
33 258 71937
34 98 41385
34 183 22991
34 1042 9394
34 4492 151943
34 7874 25900
34 3788 79857
35 146 1341
35 569 135072
35 9097 66180
35 4613 9514
35 5101 94220
35 8919 138021
35 3487 63209
36 63 10957
36 157 107074
36 219 125806
36 291 107384
36 555 98038
36 3858 180571
36 7794 12396
37 204 35425
37 246 127051
37 3066 196460
37 4129 209925
38 71 126931
38 220 196622
38 977 105823
38 2934 15022
38 3167 192554
38 5425 128166
38 8518 211079
38 5439 151080
38 4357 204656
39 43 185240
39 121 35505
39 543 29572
39 1119 63085
39 2451 7394
39 5718 157990
39 6551 193855
39 6583 90220
39 6260 88453
39 2157 49259
39 941 118993
40 104 61188
40 122 154210
40 2249 140752
40 7298 200156
41 111 1135
41 650 210543
41 1193 214019
41 1572 52260
41 1894 197269
41 7408 196543
42 306 211635
42 312 194394
42 376 112234
42 651 188965
42 3027 183537
42 5512 163187
42 7967 96587
42 194 72387
42 9776 106319
42 3992 146275
42 5400 52884
42 3074 90173
43 74 42884
43 75 185700
43 94 141975
43 96 158649
43 213 27523
43 228 129482
43 529 105240
43 7524 96692
43 7388 78252
43 4628 75330
44 48 191538
44 55 46443
44 152 213774
44 205 25071
44 256 29228
44 1114 90670
44 2842 160997
44 2871 90744
44 3313 90696
44 1460 144921
45 60 193388
45 193 179448
45 110 209071
45 2610 7636
46 580 162121
46 9636 61515
46 5166 22733
46 1020 5694
47 112 64114
47 298 119520
47 612 71924
47 622 175825
47 2689 149
47 3469 64215
47 3522 68808
47 6396 107413
47 6415 48745
47 7309 155650
47 9445 100997
47 4266 69607
48 65 80844
48 133 77542
48 281 120798
48 4688 156777
48 5874 156701
48 9143 118656
48 9248 68892
49 335 185287
49 1336 92748
49 4491 94243
49 126 70249
50 102 213774
50 118 110375
50 475 26859
50 789 128188
50 1020 23627
50 1296 64846
50 4565 96478
50 2545 22539
50 2189 64138
51 69 45815
51 86 7944
51 159 89594
51 520 114584
51 625 18249
51 699 206416
51 1619 31557
51 5072 130592
51 6806 199709
51 8255 138180
51 9755 36597
52 99 46658
52 268 118908
52 287 69559
52 7280 61690
53 154 56546
53 1294 128721
53 1549 184849
53 3064 209010
53 3174 117061
53 3844 103995
53 4338 164258
54 576 93728
54 775 51520
54 1217 40551
54 3272 26730
54 4263 72354
54 7167 184647
54 755 112298
54 4864 121384
54 7727 174293
54 5541 8275
54 4212 113879
55 76 173400
55 80 167261
55 116 41103
55 137 142937
55 3095 184320
55 6810 3995
55 7286 186009
55 4603 206669
56 57 88647
56 170 116991
56 258 105697
56 1142 93478
56 3062 122725
56 4291 109382
57 694 109431
57 1107 1277
57 1416 50862
57 9553 179001
58 70 75170
58 109 49206
58 127 91560
58 472 204338
58 553 211751
58 7051 41576
58 8111 105315
59 91 88088
59 172 85757
59 231 124444
59 740 92349
59 880 1032
59 2287 205144
59 3450 120216
59 6049 171382
59 6874 64086
59 6951 35681
60 292 29842
60 468 118280
60 1539 39009
60 9832 5103
61 189 162920
61 274 211369
61 742 60558
61 1219 213200
61 2529 173192
61 2852 138762
61 4991 157014
61 3834 24107
62 143 186268
62 208 206367
62 218 107969
62 644 106921
62 6883 160742
62 6613 103216
62 1524 72944
62 5005 26672
62 5783 50057
63 126 121227
63 141 9112
63 347 132286
63 649 182434
63 2954 38836
63 468 28727
63 3171 155416
63 1882 99721
64 97 191366
64 160 213058
64 288 176792
64 1106 57140
64 6706 68421
64 1049 63825
64 8394 31357
64 2761 23910
64 1005 150572
65 83 84873
65 87 145185
65 117 115980
65 325 161235
65 427 128661
65 566 130198
65 2374 102388
65 2692 212888
65 6220 176365
65 7956 179422
65 8471 112519
65 5050 126804
65 7825 125390
65 3451 117098
66 663 19144
66 1577 209611
66 9363 37800
66 3762 109181
66 6192 194965
67 77 127980
67 103 187998
67 136 80564
67 145 122582
67 151 28667
67 275 179548
67 506 48655
67 2174 142030
67 2706 4181
67 2848 55958
67 4420 118426
67 8655 181751
67 9291 30609
68 100 9067
68 113 197623
68 161 31056
68 174 168677
68 353 204022
68 442 85169
68 6361 9736
68 9384 174485
69 355 205337
69 1108 137179
69 9978 144211
69 4526 21101
69 4620 141957
70 90 187725
70 448 36798
70 956 139844
71 106 66263
71 225 143705
71 1884 19167
71 2649 154532
71 7648 4202
71 9962 10696
71 9379 25177
72 95 95856
72 155 151794
72 440 66366
72 447 164371
72 639 18203
72 871 52978
72 986 54131
72 4529 19974
72 2611 40448
72 2476 180881
72 8267 59041
72 1059 136630
72 4981 52791
73 1587 134578
74 88 120902
74 842 55341
74 4011 177392
74 2542 167858
74 8045 116404
74 7738 103332
75 168 31035
75 316 89709
75 567 200939
75 1924 155154
75 513 190440
75 6411 177885
75 3111 174019
75 4509 184506
76 177 181253
76 9119 181792
76 8216 26938
76 8625 195606
76 9699 72041
77 162 12767
77 237 125651
77 276 116325
77 314 173245
77 711 183165
77 714 65268
77 1465 111558
77 1959 173196
77 4423 202705
78 210 107323
78 214 29133
78 1524 211377
78 2682 136649
78 4287 190348
78 4814 179540
78 3159 191613
79 176 159376
79 906 73166
79 1433 60317
79 7470 59411
79 6055 190919
80 346 121698
80 1171 139707
80 2239 74517
80 4174 98073
80 4227 6463
80 4867 196750
80 402 53984
80 9571 202653
80 4465 51155
80 8526 79110
81 905 91930
81 8796 18309
81 3379 104295
82 227 106030
82 334 37270
82 1858 73552
82 2530 146019
82 7801 73978
82 6886 5198
83 270 114584
83 308 61437
83 413 50118
83 495 25922
83 768 148157
83 8013 87340
83 1532 128475
84 110 66270
84 134 45246
84 142 68963
84 1249 24886
84 3932 16519
84 8373 117703
84 9552 27981
85 108 28724
85 135 100445
85 263 168227
85 826 46722
85 7179 32536
85 8267 164837
86 93 4141
86 125 131885
86 1294 92347
86 3381 53607
87 89 42137
87 1609 119749
87 2131 13740
87 5624 170726
87 5996 72695
87 3076 172132
87 9615 59827
88 139 117630
88 391 113293
88 3351 123156
88 1577 19056
88 5326 169291
89 1131 127942
89 6653 38954
90 229 61828
90 538 82332
90 798 209502
90 3754 27799
90 7185 211885
90 4799 94527
90 7768 124611
90 1403 177223
90 132 197733
91 140 93860
91 585 212242
91 868 139770
91 2325 130720
91 2833 10567
91 3702 99256
91 7516 136568
92 201 58961
92 5515 21042
92 2922 199745
92 9565 127373
93 165 114863
93 244 9118
93 279 38548
93 331 14733
93 452 37336
93 1101 139454
93 1874 209256
93 2878 173459
93 3291 168018
94 101 92177
94 623 73721
94 1073 80823
94 1184 48352
94 1519 22355
94 4517 102851
94 5426 97473
95 337 161532
95 1077 69976
95 3071 121908
95 9403 181735
95 1791 89795
95 3940 113803
95 6587 209253
96 224 178017
96 339 125342
96 444 131656
96 615 111478
96 5837 30356
97 254 187543
97 343 120581
97 874 132024
97 1293 84002
97 1317 135700
97 2845 122484
97 2886 154985
97 3553 51439
97 7156 191956
97 4733 41406
97 9383 163954
98 414 70890
98 702 14474
98 1151 105487
98 1386 31493
98 5658 58127
98 9749 123775
99 3751 162822
100 148 147999
100 6502 41001
100 7515 142682
100 322 17745
100 7688 42920
101 436 81438
101 3784 100887
101 4705 62126
102 164 48461
102 169 152988
102 324 3480
102 1406 173689
102 1860 2927
102 2596 191709
102 4965 112935
102 5464 98203
102 5912 191259
102 4443 123562
102 6650 178375
103 209 129512
103 260 122417
103 367 111535
103 394 26433
103 817 178233
103 821 172723
103 836 209791
103 1007 82138
103 3076 198990
103 2006 146099
103 3481 179336
103 9226 126560
104 115 151434
104 261 19376
104 1134 71985
104 2764 41794
104 3271 150921
104 7131 95792
104 9612 182802
104 200 32682
104 164 15025
105 187 131259
105 1178 181006
105 3940 142134
105 5561 172649
105 9762 6120
105 2775 10335
105 1789 22533
105 1255 53684
106 147 147654
106 211 118903
106 232 207435
106 848 134971
106 2273 165681
106 7477 94520
106 4186 187278
107 124 105198
107 589 133660
107 666 68692
107 678 90694
107 1481 142706
107 8910 174079
107 9390 131469
107 8077 213227
107 7341 178431
108 305 20245
108 893 23562
108 6779 91040
108 9985 49775
108 8358 131938
109 321 197316
109 1361 65974
109 4031 105141
109 8001 62412
109 9298 136678
109 487 39095
109 357 111359
109 7556 146583
110 153 37888
110 206 179089
110 544 69034
110 1207 24356
110 2669 135495
110 2895 170128
110 2966 80208
110 8676 104063
110 5747 47569
110 8401 100039
111 131 38832
111 138 203838
111 158 61173
111 184 93770
111 856 141342
111 857 92786
111 1462 213378
111 7091 201165
111 2718 112294
112 190 127093
112 250 91684
112 336 95763
112 400 34141
112 2013 183709
112 8616 48942
112 9007 49182
112 6880 13180
113 173 29158
113 558 169877
113 2145 117714
113 9537 209390
113 344 15435
113 3490 93709
114 489 9526
114 1441 41605
114 2003 195205
114 3321 11783
114 9820 72150
114 2057 71966
115 119 173453
115 1288 119952
116 513 209936
116 696 84822
116 936 25551
116 3061 145198
116 3382 207874
117 132 180289
117 179 36415
117 191 175964
117 510 5387
117 861 145632
117 2551 44228
117 6577 136333
117 6984 210366
117 7293 63636
117 8687 73121
118 221 90373
118 342 105355
118 371 60934
118 617 177786
118 1589 186440
118 3597 92138
118 3830 155578
118 5615 38830
118 8015 64544
118 6380 91463
119 123 199809
119 129 108316
119 203 203295
119 1160 142026
119 3957 84724
119 8906 83325
119 7454 15543
120 656 97783
120 2113 41438
120 2826 19631
120 3039 194243
120 5362 119076
120 5961 70890
120 8437 41892
120 1311 144691
121 402 41098
121 519 70666
121 577 203510
121 780 147505
121 909 27363
121 4022 101557
121 6512 124822
121 2445 90643
122 1593 204240
122 6255 47790
122 8071 96152
122 5864 146118
122 5857 151533
123 238 190670
123 634 70894
123 3166 40374
124 180 49734
124 185 200954
124 350 124540
124 6419 183299
125 130 51082
125 514 3281
125 809 134205
125 6490 98437
125 6773 5373
125 8546 88074
126 175 38298
126 421 141836
126 1595 35961
126 8212 117248
126 9810 120283
126 1321 197007
126 8686 213908
127 332 122306
127 681 126464
127 1511 84287
127 5696 7706
127 5997 47650
127 7009 8485
127 6461 32928
128 1443 116186
128 7055 111591
128 4356 191071
129 3976 58948
129 4565 190249
130 1149 111411
130 1882 98896
130 3583 207858
130 8792 195404
131 302 203141
131 491 12786
131 1953 26980
131 2644 190449
131 5229 209541
131 7126 99051
131 2121 180555
132 277 153406
132 665 138133
132 825 101345
132 1531 28143
132 1727 46878
132 3920 85476
132 5830 173821
133 482 90303
133 888 111721
134 252 134203
134 273 80696
134 320 79800
134 659 105345
134 1903 140344
134 5679 127517
134 6229 47141
134 3749 129106
134 5240 11248
135 196 208787
135 533 134230
135 728 121604
135 1743 119688
135 3098 154346
135 5517 189045
135 8107 9241
135 7499 54697
135 1777 107362
136 914 28889
136 1769 14109
136 2330 28652
136 4603 45459
136 5396 65510
136 7488 202812
136 8837 48069
136 8929 157956
137 149 23850
137 150 61020
137 199 32468
137 327 178450
137 796 135197
137 1802 105079
137 6627 134244
137 4268 141422
137 8884 34232
137 9947 169974
138 233 189851
138 369 68786
138 383 135129
138 781 136294
138 1795 213161
138 7562 69458
138 2223 112091
138 1399 148093
139 1479 100798
139 5109 27420
140 467 108356
140 1222 195016
140 1241 77184
140 8479 152140
140 9058 140568
140 3463 75408
140 4668 140009
140 8359 46407
141 328 75623
141 1214 197084
141 1972 123808
141 8473 194081
141 5032 128319
141 3588 128251
142 2261 140014
142 2571 17065
142 9532 88850
142 9706 126218
142 2004 32646
143 163 120762
143 167 121387
143 247 185710
143 640 63235
143 913 65642
143 1098 180378
143 1183 45014
143 2142 87867
143 3538 176106
143 4689 82005
143 6496 196021
143 7015 127747
143 7042 74282
143 9736 65733
144 313 118553
145 608 187239
145 2378 99865
145 2785 25627
145 4281 111998
146 855 76221
146 1304 188580
146 4063 150200
146 6178 14242
146 7334 181600
146 7569 64805
146 8093 190924
146 1069 77813
147 286 38920
147 1065 140611
147 4253 116004
147 2892 5083
147 4010 114912
147 7837 71904
148 1760 75468
148 4228 117827
148 6173 60476
148 5030 207821
148 1076 187439
148 1337 195590
148 6904 31102
148 3937 178720
149 523 45403
149 557 126054
149 1052 35547
149 1072 29621
149 2475 147504
149 6309 82853
150 188 16688
150 426 141334
150 1736 144777
150 5317 72739
150 9557 158862
151 197 13368
151 297 162401
151 368 90930
151 888 195704
151 1857 124624
151 4430 112665
151 7818 65811
151 9057 44753
151 4144 65076
151 5410 206636
151 8195 56506
152 255 194755
152 496 102612
152 767 80911
152 1076 57898
152 1079 31334
152 9689 51382
152 7650 112259
152 1641 208688
153 430 160501
153 741 137253
153 4123 17490
153 4241 51223
154 253 38428
154 425 95209
154 480 199158
154 756 101271
154 7358 124283
154 1981 112921
154 4336 134695
155 1050 10393
155 1412 75779
155 1832 136961
155 2468 94208
155 4512 113697
155 6140 154884
155 9816 91588
156 313 120604
156 1843 75144
156 4315 102222
157 804 34269
157 1123 158872
157 2240 31868
158 239 188086
158 345 3158
158 1553 183898
158 2043 50410
158 3211 163427
158 3502 105732
158 2963 108128
158 3590 15431
159 655 52769
159 1798 131258
160 720 98192
160 866 195880
160 1048 111281
160 2544 162083
160 7413 67746
160 9959 119981
161 829 37019
161 3048 98962
161 4395 145398
161 8180 134992
161 3595 163073
161 9557 97778
161 575 29369
161 9307 89661
161 9034 143366
162 373 119962
162 693 3646
162 1848 179380
162 4981 147118
162 687 109829
162 1769 128521
162 2924 48136
162 7900 143147
163 341 95347
163 630 140799
163 1566 146408
163 1936 79262
163 1961 110320
163 3456 130943
163 3910 101029
163 4040 168632
163 4693 112765
164 363 52718
164 918 50354
164 3387 210225
164 3911 124249
165 2133 87162
165 3079 156843
165 6478 141066
165 2002 34968
166 194 76165
166 5649 200019
166 3249 125333
166 5499 140905
167 3407 153757
168 171 104575
168 319 70954
168 2319 18535
168 559 98905
169 454 101853
169 502 173201
169 654 54418
169 1395 69270
169 1939 63107
169 2808 34925
169 3082 155027
169 5105 1166
169 5469 77524
169 980 97106
169 2246 89093
171 202 8839
171 395 184373
171 2005 201711
171 3006 211575
171 4468 51259
172 1822 106070
172 4486 50407
173 360 96015
173 453 131201
173 498 126505
173 595 53524
173 2653 108208
174 192 12554
174 497 89289
174 616 145320
174 744 21398
174 878 32173
174 1069 132938
174 2344 199508
174 8256 136214
174 4868 116393
174 7238 182489
174 1434 103671
175 242 158718
175 812 16948
175 2105 186864
175 6238 110169
176 249 82573
176 285 69640
176 8626 104255
176 8005 15277
177 527 95535
177 1124 16834
177 2323 154571
177 5496 57021
177 7072 79196
177 5601 165830
177 3083 3453
177 1120 35082
178 1305 151439
178 7206 69748
178 1977 199541
179 344 160949
179 4586 192529
179 7046 193234
179 5575 136979
179 1151 200567
179 9081 155760
179 3361 86506
180 429 144358
180 481 119065
180 574 124598
180 3012 51080
180 8708 15785
181 485 125203
181 901 80010
181 1195 200266
181 1321 94562
181 5617 26485
182 245 3843
182 329 16230
182 944 119258
182 7114 122776
182 7596 198370
182 2530 180287
182 6658 130111
182 3868 196413
183 471 29894
183 706 74587
183 875 167826
183 2788 62612
183 6821 61895
183 7431 214735
183 9889 112327
184 186 46428
184 262 50007
184 2522 69692
184 4446 122742
184 8845 112058
184 8624 110052
185 304 162240
185 463 107962
185 1440 208389
185 8462 65690
186 484 40989
186 500 68903
186 920 124233
186 9658 58051
186 1995 86382
186 6588 188535
186 4163 144652
187 333 134116
187 773 198055
187 2619 88778
187 5384 85551
188 207 138894
188 1719 110943
188 9839 142356
188 9396 92332
188 467 125283
188 3008 125307
189 364 192700
189 2172 43426
189 2995 117949
189 9447 75313
189 8112 191033
190 216 166761
190 240 99758
190 772 114699
190 961 175581
190 1652 126502
190 8242 105257
191 692 53485
191 725 43020
191 1012 46109
191 1092 110030
191 1313 114647
191 7679 102176
191 9011 68489
192 309 158397
192 1221 183937
192 3283 119983
192 8527 176875
192 6219 149662
192 7953 48539
192 8541 144645
192 9960 193269
193 610 27150
193 1173 63611
193 5349 213543
193 5573 41594
193 7133 104103
193 6813 48883
193 6478 139213
193 2464 67082
193 7978 130778
193 3695 156796
194 762 32376
194 2035 8702
194 4964 90436
195 236 145535
195 409 119497
195 1750 163604
195 2255 68194
195 4848 158614
195 6268 33742
195 4243 69468
195 9997 104520
195 9145 99594
196 488 211025
196 668 38513
196 2456 75340
196 3650 111690
196 9839 108996
196 2104 44209
197 556 6121
197 606 108105
197 1208 172602
197 4824 156960
197 8619 66129
197 8915 51387
197 348 40185
197 4555 114833
197 2502 20077
198 362 154232
198 548 37390
198 807 126769
198 2162 36903
199 265 29317
199 449 155891
199 479 86847
199 749 3720
199 1084 118931
199 1703 82498
199 2413 7244
199 3435 64889
199 6088 159635
199 2510 110355
199 3780 84777
200 310 89422
200 551 111261
200 5619 128526
200 2172 87586
201 572 103568
201 779 108044
201 2315 150566
201 2870 73180
201 9900 165243
201 1251 118229
202 487 88014
202 885 75913
202 1405 134575
202 5846 39541
203 338 201519
203 456 3975
203 960 5178
203 1090 153338
203 4737 110353
203 4992 163138
203 6276 110144
203 2427 98575
203 2181 51136
203 5466 174216
203 4487 82258
204 432 175892
204 924 202621
204 1762 20804
204 5110 50634
204 9277 192575
205 517 35559
205 1608 181262
205 5019 49064
205 4766 189065
205 7923 72121
205 5544 189437
206 323 60533
206 673 135234
206 1375 175005
206 1663 57675
206 2483 1581
206 5345 201634
206 6974 17370
206 4683 85975
206 7323 211767
207 565 152917
207 777 149803
207 1311 210844
207 2695 140146
207 6773 190940
207 2005 75708
207 9734 196410
208 632 35247
208 638 100286
208 815 193366
208 5036 50613
208 6304 152473
208 5132 86613
208 5118 90842
208 9868 160369
209 340 66171
209 375 129430
209 386 174453
209 439 116694
209 1030 97371
209 2542 49599
209 2627 115264
209 9824 173857
209 6833 9283
210 1978 75373
210 2911 143399
210 7423 192319
210 1762 80398
210 1926 188490
210 334 74715
210 1532 3760
211 326 3173
211 377 24314
211 1490 123265
211 1349 94314
211 1994 204842
212 405 22236
212 561 55117
212 1213 75278
212 1227 39709
212 4365 151121
212 8036 46413
212 6052 89126
213 374 176920
213 1133 210416
213 1408 21423
213 7559 83460
213 3849 144099
213 7244 115149
214 726 45387
214 955 85932
214 6528 2918
214 9211 82545
214 5146 71086
214 2261 68217
215 243 89325
215 490 131538
215 1620 1067
215 1672 63560
215 6696 9013
215 9887 8480
215 2358 131671
216 352 134534
216 424 29461
216 1379 100626
216 6310 128843
216 8722 154687
216 3700 120137
217 351 2108
217 365 199372
217 629 77505
217 6531 36354
217 6331 18824
217 1880 213543
218 293 17667
218 359 54732
218 422 91463
218 1337 3870
218 4427 66775
218 4050 142508
218 783 8879
219 2643 148594
219 9148 15025
220 598 29109
220 800 166751
220 2286 61642
220 3043 210206
220 3349 74760
220 5519 98265
220 8272 139781
220 1311 100359
220 1034 110508
220 1705 59896
221 1371 166517
221 1474 10530
221 1841 208128
221 2663 52040
221 4728 140346
221 6346 39574
221 8081 183613
221 230 56849
222 251 179339
222 415 177252
222 423 189664
222 1429 162015
222 2192 187279
222 3031 120014
222 3905 194136
222 4924 67715
222 5647 51677
222 938 32241
222 9955 34193
222 7514 13993
223 389 93520
223 552 190377
223 628 77207
223 849 93651
223 1201 10236
223 3263 67279
223 4403 98332
224 834 205162
224 2188 61576
224 6802 72449
224 7271 179787
224 1003 97598
224 329 38838
225 1562 170381
225 3725 174913
225 4573 91084
225 9490 78361
225 9419 34556
225 3824 90236
225 4582 128464
226 474 49046
226 1507 15779
226 8141 139899
226 4197 196058
226 7858 139702
226 5622 213695
227 303 212320
227 819 185091
227 844 46449
227 950 142341
227 6999 159600
227 4385 8852
228 3240 113611
228 4561 114929
228 8195 32992
228 8905 81188
229 707 200816
229 830 98487
229 1315 34590
229 2686 61363
229 6463 67260
230 280 190251
230 390 172759
230 408 205091
230 2091 118725
230 2168 163158
230 7762 35487
230 2269 195269
230 3953 170255
230 4608 167491
231 420 62316
231 894 184308
231 6725 73590
231 8247 100613
232 370 62596
232 701 64069
232 2258 177711
232 4985 21305
232 4438 188683
232 1814 140307
233 269 187859
233 5736 55806
233 5756 212545
233 8704 212616
233 5845 132840
233 8911 211987
234 248 80209
234 2361 993
234 6526 104685
234 803 169618
235 317 199707
235 1602 76911
235 3451 192474
235 4672 171041
235 6705 149919
235 757 6675
235 1496 121301
235 5771 155747
235 8270 84161
236 504 194847
236 1512 171077
236 3356 83503
236 2326 187874
236 1024 87269
237 404 70293
237 3608 10685
237 3866 123972
237 5208 87839
237 3017 79515
237 4641 133715
238 1268 110449
238 4729 47801
238 7444 211528
238 8067 106609
239 278 171847
239 294 169115
239 318 206887
239 1167 191973
239 6552 167412
240 403 100189
240 660 184899
240 838 21751
240 1564 175145
240 2238 115221
240 3267 118823
240 7082 11779
240 1004 21035
240 3302 125181
241 2216 153828
241 5543 26914
241 7765 107602
241 1786 138287
241 3292 16981
242 271 32815
242 396 1255
242 620 85708
242 1055 203134
242 1488 76033
242 1701 156981
242 2555 160886
242 6567 163560
242 933 21850
243 684 46186
243 722 11410
243 1473 48114
243 1758 175327
243 3523 57744
243 3386 173965
244 778 14712
244 839 16042
244 1146 23595
244 1456 51546
244 5291 89236
244 8017 194237
244 6115 181437
244 7379 88226
245 1571 25761
245 1785 188461
245 2550 128018
245 1828 193500
246 300 35283
246 683 183943
246 845 84266
246 936 93956
246 666 54998
246 9199 35439
247 889 105107
247 1657 165102
247 7304 21065
248 299 197273
248 1345 139048
248 8430 5671
248 427 21879
248 9437 3400
249 851 183083
249 916 61376
249 8918 120552
249 3714 80395
250 6258 47622
250 6859 203564
251 464 191517
251 3004 138080
251 5727 189944
251 3436 114935
251 6354 200409
252 657 126008
252 708 76396
252 984 107346
252 1910 151590
252 4449 120374
252 5830 5472
253 2791 128488
253 5554 152151
254 272 136753
254 1604 164819
254 9350 167196
255 1022 9229
255 5903 181624
255 2387 102247
255 1080 104130
256 3598 168447
256 6117 8801
256 5673 47268
256 8293 97466
256 5134 59484
256 2214 41625
257 411 67275
257 2585 185865
257 5257 152341
257 5280 74041
257 8749 173835
257 5515 113222
257 293 585
258 493 77515
258 7303 151554
259 509 41404
259 1021 214063
259 2829 26886
259 3908 38558
259 1050 161174
260 584 156732
260 2489 150337
260 6367 182327
260 7980 60223
260 3363 166900
261 2016 76599
261 4535 153050
261 6257 115289
261 8478 172939
262 1486 176229
262 3201 149411
262 5472 118107
262 9606 205798
262 7934 139135
263 417 118586
263 4541 207668
263 9512 115070
263 7193 97133
263 451 134995
263 9331 132942
264 1039 209776
264 2279 35823
264 3727 33458
264 5385 64108
264 5390 69389
264 8928 210195
265 357 140275
265 1013 131553
265 1163 35913
265 2859 181225
265 6288 128303
265 7147 57468
266 1148 91658
266 1380 109409
266 1748 83075
266 4475 38190
266 9421 112085
266 8951 202902
266 492 143078
267 2990 23047
267 3853 126551
267 4273 69470
267 5133 72228
267 458 189797
267 1880 97981
268 379 98909
268 602 5966
268 5621 2875
268 5924 191301
268 8145 54863
268 418 15135
268 6554 175951
268 8815 25590
269 627 150951
269 7260 53348
269 6395 67597
269 8565 183764
270 9559 175827
270 1762 172995
271 410 5446
271 2109 15371
271 8744 168916
271 4014 103024
271 2129 20335
271 5072 41355
271 6138 75439
272 284 122997
272 542 11784
272 575 173162
272 581 158057
272 1907 9110
273 450 84585
273 860 34503
273 959 56859
273 1086 84657
273 1103 195272
273 1174 48152
273 3300 125418
273 4068 37224
273 4678 5891
273 7692 1046
273 8219 188613
273 9701 85938
273 6321 45529
273 7981 56079
274 524 51145
274 592 196093
274 1102 91932
274 1411 46049
274 5293 142078
274 6988 50888
274 1957 169981
